stop_id,stop_name,stop_desc,platform_code,ja-Hrkt,en,zh-Hans,zh-Hant,ko,Flat,Comm Pass,Ward
157200,北野天満宮前,北野天満宮前(西行),A,きたのてんまんぐうまえ,Kitano Tenmangu-mae (Kitano-tenmangu Shrine),北野天满宫前,北野天滿宮前,기타노텐만구마에,0,1,上
158110,北野白梅町,北野白梅町(B),B,きたのはくばいちょう,Kitano Hakubaicho,北野白梅町,北野白梅町,기타노하쿠바이초,0,1,北
158120,北野白梅町,北野白梅町(A),A,きたのはくばいちょう,Kitano Hakubaicho,北野白梅町,北野白梅町,기타노하쿠바이초,0,1,北
158210,北野白梅町,北野白梅町(F),F,きたのはくばいちょう,Kitano Hakubaicho,北野白梅町,北野白梅町,기타노하쿠바이초,0,1,北
158220,北野白梅町,北野白梅町(C),C,きたのはくばいちょう,Kitano Hakubaicho,北野白梅町,北野白梅町,기타노하쿠바이초,0,1,上
158300,北野白梅町,北野白梅町(D),D,きたのはくばいちょう,Kitano Hakubaicho,北野白梅町,北野白梅町,기타노하쿠바이초,0,1,北
158410,北野白梅町,北野白梅町(G),G,きたのはくばいちょう,Kitano Hakubaicho,北野白梅町,北野白梅町,기타노하쿠바이초,0,1,北
158420,北野白梅町,北野白梅町(E),E,きたのはくばいちょう,Kitano Hakubaicho,北野白梅町,北野白梅町,기타노하쿠바이초,0,1,北
159200,等持院道,等持院道(西行),,とうじいんみち,Tojiin-michi,等持院道,等持院道,도지인미치,0,1,北
159300,等持院道,等持院道(南行),,とうじいんみち,Tojiin-michi,等持院道,等持院道,도지인미치,0,1,北
159400,等持院道,等持院道(北行),,とうじいんみち,Tojiin-michi,等持院道,等持院道,도지인미치,0,1,北
160100,等持院南町,等持院南町(東行),,とうじいんみなみまち,Tojiin Minamimachi,等持院南町,等持院南町,도지인미나미마치,0,1,北
160200,等持院南町,等持院南町(西行),,とうじいんみなみまち,Tojiin Minamimachi,等持院南町,等持院南町,도지인미나미마치,0,1,北
161100,妙心寺北門前,妙心寺北門前(東行),,みょうしんじきたもんまえ,Myoshinji Kitamon-mae (Myoshinji Temple),妙心寺北门前,妙心寺北門前,묘신지키타몬마에,0,1,右
161200,妙心寺北門前,妙心寺北門前(西行),,みょうしんじきたもんまえ,Myoshinji Kitamon-mae (Myoshinji Temple),妙心寺北门前,妙心寺北門前,묘신지키타몬마에,0,1,右
162100,嵐電妙心寺駅前,嵐電妙心寺駅前(東行),,らんでんみょうしんじえきまえ,Randen Myoshinji Station,岚电妙心寺站前,嵐電妙心寺車站前,란덴묘신지에키마에,0,1,右
162200,嵐電妙心寺駅前,嵐電妙心寺駅前(西行),,らんでんみょうしんじえきまえ,Randen Myoshinji Station,岚电妙心寺站前,嵐電妙心寺車站前,란덴묘신지에키마에,0,1,右
163100,御室仁和寺,御室仁和寺(東行),,おむろにんなじ,Omuro Ninnaji (Omuro Ninnaji Temple),御室仁和寺,御室仁和寺,오무로닌나지,0,1,右
163200,御室仁和寺,御室仁和寺(西行),,おむろにんなじ,Omuro Ninnaji (Omuro Ninnaji Temple),御室仁和寺,御室仁和寺,오무로닌나지,0,1,右
164100,福王子,福王子(東行),,ふくおうじ,Fukuoji,福王子,福王子,후쿠오지,0,1,右
164200,福王子,福王子(西行),,ふくおうじ,Fukuoji,福王子,福王子,후쿠오지,0,1,右
164300,福王子,福王子(南行),,ふくおうじ,Fukuoji,福王子,福王子,후쿠오지,0,1,右
164400,福王子,福王子(北行),,ふくおうじ,Fukuoji,福王子,福王子,후쿠오지,0,1,右
165300,三宝寺,三宝寺(南行),,さんぽうじ,Sanpoji,三宝寺,三寶寺,산포지,0,1,右
165400,三宝寺,三宝寺(北行),,さんぽうじ,Sanpoji,三宝寺,三寶寺,산포지,0,1,右
166100,高鼻町,高鼻町(東行),,たかはなちょう,Takahanacho,高鼻町,高鼻町,다카하나초,0,1,右
166200,高鼻町,高鼻町(西行),,たかはなちょう,Takahanacho,高鼻町,高鼻町,다카하나초,0,1,右
167300,高雄病院前,高雄病院前(南行),,たかおびょういんまえ,Takao Byoin-mae (Takao Hospital),高雄病院前（高雄医院）,高雄病院前（高雄醫院）,다카오뵤인마에（다카오병원）,0,1,右
167400,高雄病院前,高雄病院前(北行),,たかおびょういんまえ,Takao Byoin-mae (Takao Hospital),高雄病院前（高雄医院）,高雄病院前（高雄醫院）,다카오뵤인마에（다카오병원）,0,1,右
168300,平岡八幡前,平岡八幡前(南行),,ひらおかはちまんまえ,Hiraokahachiman-mae,平冈八幡前,平岡八幡前,히라오카하치만마에,0,1,右
168400,平岡八幡前,平岡八幡前(北行),,ひらおかはちまんまえ,Hiraokahachiman-mae,平冈八幡前,平岡八幡前,히라오카하치만마에,0,1,右
169300,梅ヶ畑清水町,梅ヶ畑清水町(南行),,うめがはたしみずちょう,Umegahata Shimizucho,梅畑清水町,梅畑清水町,우메가하타시미즈초,0,1,右
